DDI-MedLine.d48.s0|0-20|Clostridium difficile|drug
DDI-MedLine.d48.s1|0-28|Clostridium difficile toxin A|drug_n
DDI-MedLine.d48.s2|39-45|toxin A|drug_n
DDI-MedLine.d48.s2|137-146|Rho family|group
DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug_n
DDI-MedLine.d48.s3|94-100|toxin A|drug_n
DDI-MedLine.d48.s4|0-6|toxin A|drug_n
DDI-MedLine.d48.s4|24-30|toxin A|drug_n
DDI-MedLine.d48.s4|37-57|diethyl pyrocarbonate|drug_n
DDI-MedLine.d48.s4|120-126|toxin A|drug_n
DDI-MedLine.d48.s5|13-19|toxin A|drug_n
DDI-MedLine.d48.s5|128-142|toxin molecules|drug_n
DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d48.s6|58-70|hydroxylamine|drug_n
DDI-MedLine.d48.s7|54-60|toxin A|drug_n
DDI-MedLine.d48.s8|44-79|glucosyl transferase enzyme activity|group
DDI-MedLine.d48.s9|54-58|toxin|drug_n
DDI-MedLine.d48.s10|26-34|histidine|drug
DDI-MedLine.d48.s10|67-82|receptor-binding|group
DDI-MedLine.d48.s10|96-102|toxin A|drug_n
DDI-MedLine.d48.s11|22-28|toxin A|drug_n
DDI-MedLine.d48.s11|150-156|toxin A|drug_n
DDI-MedLine.d62.s0|0-14|methamphetamine|drug
DDI-MedLine.d62.s1|0-14|Methamphetamine|drug
DDI-MedLine.d62.s3|31-34|METH|drug_n
DDI-MedLine.d62.s4|0-3|METH|drug
DDI-MedLine.d62.s4|156-186|dopamine D1 receptor antagonist|group
DDI-MedLine.d62.s4|188-196|SCH-23390|brand
DDI-MedLine.d62.s4|233-241|clozapine|drug
DDI-MedLine.d62.s5|17-20|METH|group
DDI-MedLine.d62.s5|79-95|dopamine receptor|group
DDI-MedLine.d62.s6|27-28|D1|drug
DDI-MedLine.d62.s6|183-186|METH|drug_n
DDI-MedLine.d106.s0|25-32|warfarin|drug
DDI-MedLine.d106.s1|0-12|phenobarbital|drug
DDI-MedLine.d106.s1|15-26|secobarbital|drug
DDI-MedLine.d106.s1|29-40|glutethimide|drug
DDI-MedLine.d106.s1|43-57|chloral hydrate|drug
DDI-MedLine.d106.s1|60-71|methaqualone|drug
DDI-MedLine.d106.s2|60-67|warfarin|drug
DDI-MedLine.d106.s4|0-12|phenobarbital|drug
DDI-MedLine.d106.s4|15-26|secobarbital|drug
DDI-MedLine.d106.s4|33-44|glutethimide|drug
DDI-MedLine.d106.s5|0-14|chloral hydrate|drug
DDI-MedLine.d106.s5|20-31|methaqualone|drug
DDI-MedLine.d106.s6|0-11|Barbiturates|group
