DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug_n
DDI-MedLine.d48.s4|29-49|diethyl pyrocarbonate|drug
DDI-MedLine.d48.s4|126-127|Zn|drug
DDI-MedLine.d48.s5|28-29|14|drug_n
DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d48.s6|58-70|hydroxylamine|drug
DDI-MedLine.d48.s11|48-51|zinc|drug
DDI-MedLine.d48.s11|164-167|zinc|drug
DDI-MedLine.d62.s0|54-68|methamphetamine|drug
DDI-MedLine.d62.s1|141-155|methamphetamine|drug
DDI-MedLine.d62.s1|158-161|METH|drug
DDI-MedLine.d62.s3|31-34|METH|drug
DDI-MedLine.d62.s4|46-49|METH|drug
DDI-MedLine.d62.s4|234-242|SCH-23390|drug
DDI-MedLine.d62.s4|258-277|atypical neuroleptic|group
DDI-MedLine.d62.s4|279-287|clozapine|drug
DDI-MedLine.d62.s5|0-3|METH|drug
DDI-MedLine.d62.s6|183-186|METH|drug
DDI-MedLine.d106.s0|25-32|warfarin|drug
DDI-MedLine.d106.s0|57-65|sedatives|group
DDI-MedLine.d106.s1|75-87|phenobarbital|drug
DDI-MedLine.d106.s1|90-101|secobarbital|drug
DDI-MedLine.d106.s1|104-115|glutethimide|drug
DDI-MedLine.d106.s1|118-132|chloral hydrate|drug
DDI-MedLine.d106.s1|138-149|methaqualone|drug
DDI-MedLine.d106.s1|209-216|coumarin|group
DDI-MedLine.d106.s1|227-239|Phenobarbital|drug
DDI-MedLine.d106.s1|253-264|secobarbital|drug
DDI-MedLine.d106.s1|280-291|glutethimide|drug
DDI-MedLine.d106.s1|345-352|warfarin|group
DDI-MedLine.d106.s1|405-417|phenobarbital|drug
DDI-MedLine.d106.s1|426-440|Chloral hydrate|drug
DDI-MedLine.d106.s1|457-468|methaqualone|drug
DDI-MedLine.d106.s1|508-515|warfarin|drug
DDI-MedLine.d106.s1|523-537|Chloral hydrate|drug
DDI-MedLine.d106.s1|543-554|methaqualone|drug
DDI-MedLine.d106.s2|60-67|warfarin|drug
DDI-MedLine.d106.s4|0-12|Anticoagulant|group
