DDI-MedLine.d48.s0|79-107|Clostridium difficile toxin A|drug_n
DDI-MedLine.d48.s1|0-10|Clostridium|drug
DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug
DDI-MedLine.d48.s5|34-54|diethyl pyrocarbonate|drug_n
DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d48.s6|58-70|hydroxylamine|drug
DDI-MedLine.d62.s0|54-68|methamphetamine|drug
DDI-MedLine.d62.s1|141-144|METH|drug
DDI-MedLine.d62.s3|31-34|METH|drug
DDI-MedLine.d62.s4|46-49|METH|drug
DDI-MedLine.d62.s4|107-109|arc|drug_n
DDI-MedLine.d62.s4|234-242|SCH-23390|drug
DDI-MedLine.d62.s4|279-287|clozapine|drug
DDI-MedLine.d62.s5|0-3|METH|drug
DDI-MedLine.d62.s5|62-69|dopamine|drug
DDI-MedLine.d62.s6|183-186|METH|drug
DDI-MedLine.d106.s0|25-32|warfarin|drug
DDI-MedLine.d106.s0|57-65|sedatives|group
DDI-MedLine.d106.s1|75-87|phenobarbital|drug
DDI-MedLine.d106.s1|90-101|secobarbital|drug
DDI-MedLine.d106.s1|104-115|glutethimide|drug
DDI-MedLine.d106.s1|118-132|chloral hydrate|drug
DDI-MedLine.d106.s1|138-149|methaqualone|drug
DDI-MedLine.d106.s1|209-216|coumarin|group
DDI-MedLine.d106.s2|60-67|warfarin|drug
DDI-MedLine.d106.s4|0-12|Anticoagulant|group
DDI-MedLine.d106.s4|67-79|phenobarbital|drug
DDI-MedLine.d106.s4|82-93|secobarbital|drug
DDI-MedLine.d106.s4|99-110|glutethimide|drug
DDI-MedLine.d106.s5|81-95|chloral hydrate|drug
DDI-MedLine.d106.s5|101-112|methaqualone|drug
DDI-MedLine.d106.s6|0-11|Barbiturates|group
DDI-MedLine.d106.s6|17-28|glutethimide|drug
DDI-MedLine.d106.s6|79-92|coumarin drugs|group
DDI-MedLine.d106.s8|0-6|Chloral|drug
DDI-MedLine.d106.s8|20-31|methaqualone|drug
DDI-MedLine.d106.s8|85-104|anticoagulant agents|group
DDI-MedLine.d106.s9|21-35|chloral hydrate|drug
DDI-MedLine.d106.s9|41-52|methaqualone|drug
DDI-MedLine.d106.s9|151-163|anticoagulant|group
DDI-MedLine.d59.s0|77-85|carbachol|drug
DDI-MedLine.d59.s2|31-39|carbachol|drug
DDI-MedLine.d59.s2|83-96|dibutyryl cAMP|drug
DDI-MedLine.d59.s3|38-46|carbachol|drug
DDI-MedLine.d59.s4|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s4|75-83|carbachol|drug
DDI-MedLine.d59.s4|108-111|cAMP|drug
DDI-MedLine.d59.s4|142-150|histamine|drug
DDI-MedLine.d59.s4|156-159|cAMP|drug
DDI-MedLine.d59.s5|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s5|29-37|carbachol|drug
DDI-MedLine.d59.s6|29-42|cytochalasin D|drug_n
DDI-MedLine.d59.s7|60-70|cholinergic|drug_n
DDI-MedLine.d59.s7|127-130|cAMP|drug
DDI-MedLine.d58.s0|10-21|ginsenosides|drug
DDI-MedLine.d58.s1|39-50|ginsenosides|drug_n
DDI-MedLine.d58.s2|44-55|ginsenosides|group
DDI-MedLine.d58.s3|44-55|ginsenosides|group
DDI-MedLine.d58.s3|163-172|nimodipine|drug
DDI-MedLine.d58.s3|184-203|omega-conotoxin GVIA|drug
DDI-MedLine.d58.s3|218-235|omega-agatoxin IVA|drug
DDI-MedLine.d58.s4|22-33|ginsenosides|group
DDI-MedLine.d58.s6|0-9|Nimodipine|drug
DDI-MedLine.d58.s6|28-39|ginsenosides|group
DDI-MedLine.d58.s7|24-35|ginsenosides|group
