DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d62.s3|0-14|Methamphetamine|drug
DDI-MedLine.d62.s4|46-49|METH|group
DDI-MedLine.d62.s5|25-30|layers|group
DDI-MedLine.d106.s0|25-32|warfarin|drug
DDI-MedLine.d106.s1|15-27|anticoagulant|group
DDI-MedLine.d106.s1|45-57|phenobarbital|brand
DDI-MedLine.d106.s1|60-71|secobarbital|brand
DDI-MedLine.d106.s1|74-85|glutethimide|drug
DDI-MedLine.d106.s1|88-102|chloral hydrate|brand
DDI-MedLine.d106.s1|108-119|methaqualone|drug_n
DDI-MedLine.d106.s1|179-186|coumarin|drug
DDI-MedLine.d106.s4|67-80|anticoagulants|group
DDI-MedLine.d106.s4|83-95|phenobarbital|brand
DDI-MedLine.d106.s4|98-109|secobarbital|brand
DDI-MedLine.d106.s4|115-126|glutethimide|drug_n
DDI-MedLine.d106.s5|0-4|there|drug
DDI-MedLine.d106.s5|10-11|no|drug
DDI-MedLine.d106.s5|81-87|chloral|drug
DDI-MedLine.d106.s5|101-112|methaqualone|drug
DDI-MedLine.d106.s6|0-11|Barbiturates|drug
DDI-MedLine.d106.s6|17-28|glutethimide|drug
DDI-MedLine.d106.s6|88-101|anticoagulants|group
DDI-MedLine.d106.s7|22-39|acetylsalicic acid|drug
DDI-MedLine.d106.s7|42-53|glutethimide|drug
DDI-MedLine.d106.s7|56-62|aspirin|brand
DDI-MedLine.d106.s7|65-81|clostridium toxin|drug_n
DDI-MedLine.d106.s7|84-89|heroin|drug_n
DDI-MedLine.d106.s7|92-105|anticoagulants|group
DDI-MedLine.d106.s7|108-124|antifungal agents|group
DDI-MedLine.d106.s7|127-141|antidepressants|group
DDI-MedLine.d106.s7|144-157|antihistamines|group
DDI-MedLine.d106.s7|160-176|antifungal agents|group
DDI-MedLine.d106.s7|179-189|antibiotics|group
DDI-MedLine.d106.s7|192-208|antifungal agents|group
DDI-MedLine.d106.s7|211-221|antibiotics|group
DDI-MedLine.d106.s7|224-240|antifungal agents|group
DDI-MedLine.d106.s7|243-253|antibiotics|group
DDI-MedLine.d106.s7|256-272|antifungal agents|group
DDI-MedLine.d106.s7|275-285|antibiotics|group
DDI-MedLine.d106.s7|288-304|antifungal agents|group
DDI-MedLine.d106.s7|307-317|antibiotics|group
DDI-MedLine.d106.s7|320-336|antifungal agents|group
DDI-MedLine.d106.s7|339-349|antibiotics|group
DDI-MedLine.d106.s7|352-368|antifungal agents|group
DDI-MedLine.d106.s7|371-381|antibiotics|group
DDI-MedLine.d106.s7|384-400|antifungal agents|group
DDI-MedLine.d106.s7|403-413|antibiotics|group
DDI-MedLine.d106.s8|20-31|methaqualone|group
DDI-MedLine.d106.s9|21-35|chloral hydrate|drug
DDI-MedLine.d106.s9|41-52|methaqualone|drug_n
DDI-MedLine.d59.s0|88-96|carbachol|drug
DDI-MedLine.d59.s0|98-110|acetylcholine|drug
DDI-MedLine.d59.s0|112-128|hydrochloric acid|drug
DDI-MedLine.d59.s0|130-144|carbamylcholine|drug_n
DDI-MedLine.d59.s0|146-160|carbamylcholine|drug
DDI-MedLine.d59.s0|162-176|carbamylcholine|drug_n
DDI-MedLine.d59.s0|178-192|carbamylcholine|drug
DDI-MedLine.d59.s0|194-208|carbamylcholine|drug_n
DDI-MedLine.d59.s0|210-224|carbamylcholine|drug
DDI-MedLine.d59.s0|226-240|carbamylcholine|drug_n
DDI-MedLine.d59.s0|242-256|carbamylcholine|drug
DDI-MedLine.d59.s0|258-272|carbamylcholine|drug_n
DDI-MedLine.d59.s0|274-288|carbamylcholine|drug
DDI-MedLine.d59.s0|290-304|carbamylcholine|drug_n
DDI-MedLine.d59.s0|306-320|carbamylcholine|drug
DDI-MedLine.d59.s0|322-336|carbamylcholine|drug_n
DDI-MedLine.d59.s0|338-352|carbamylcholine|drug
DDI-MedLine.d59.s0|354-368|carbamylcholine|drug_n
DDI-MedLine.d59.s0|370-384|carbamylcholine|drug
DDI-MedLine.d59.s0|386-400|carbamylcholine|drug_n
DDI-MedLine.d59.s2|31-39|carbachol|drug
DDI-MedLine.d59.s2|83-96|dibutyryl cAMP|drug_n
DDI-MedLine.d59.s4|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s5|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s6|29-42|cytochalasin D|drug
DDI-MedLine.d59.s7|28-82|intracellular Ca(2+) release by cholinergic stimulation|group
DDI-MedLine.d59.s7|169-229|functional coupling between the Ca(2+) store and the receptor|drug_n
DDI-MedLine.d58.s1|39-50|ginsenosides|group
DDI-MedLine.d58.s3|163-172|nimodipine|group
DDI-MedLine.d58.s3|184-203|omega-conotoxin GVIA|group
