DDI-MedLine.d48.s5|0-28|[(14)C]-diethyl pyrocarbonate|drug
DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d48.s11|0-6|toxin A|drug
DDI-MedLine.d48.s11|11-28|exposed histidines|drug
DDI-MedLine.d48.s11|48-51|zinc|group
DDI-MedLine.d48.s11|164-167|zinc|group
DDI-MedLine.d62.s1|141-155|Methamphetamine|drug
DDI-MedLine.d62.s3|25-28|METH|drug
DDI-MedLine.d62.s4|46-49|METH|drug
DDI-MedLine.d62.s4|279-279|n|drug
DDI-MedLine.d106.s1|15-27|anticoagulant|group
DDI-MedLine.d106.s1|45-57|phenobarbital|drug
DDI-MedLine.d106.s1|60-71|secobarbital|drug
DDI-MedLine.d106.s1|74-85|glutethimide|drug
DDI-MedLine.d106.s1|205-217|anticoagulant|group
DDI-MedLine.d106.s3|32-45|anticoagulants|group
DDI-MedLine.d106.s4|67-79|phenobarbital|drug
DDI-MedLine.d106.s4|82-93|secobarbital|drug
DDI-MedLine.d106.s4|99-110|glutethimide|drug
DDI-MedLine.d106.s5|0-14|chloral hydrate|drug
DDI-MedLine.d106.s5|20-31|methaqualone|drug
DDI-MedLine.d106.s5|165-179|chloral hydrate|drug
DDI-MedLine.d106.s5|185-196|methaqualone|drug
DDI-MedLine.d106.s6|0-11|Barbiturates|drug
DDI-MedLine.d106.s6|17-28|glutethimide|drug
DDI-MedLine.d106.s7|22-39|acetilsalicic acid|drug
DDI-MedLine.d106.s7|42-53|glutethimide|drug
DDI-MedLine.d106.s7|190-203|anticoagulants|group
DDI-MedLine.d106.s7|257-274|acetilsalicic acid|drug
DDI-MedLine.d106.s7|280-291|glutethimide|drug
DDI-MedLine.d106.s7|294-310|antifungal agents|group
DDI-MedLine.d106.s7|407-412|heroin|drug_n
DDI-MedLine.d106.s7|482-488|aspirin|brand
DDI-MedLine.d106.s8|0-14|chloral hydrate|drug
DDI-MedLine.d106.s8|20-31|methaqualone|drug
DDI-MedLine.d106.s9|21-35|chloral hydrate|drug
DDI-MedLine.d106.s9|41-52|methaqualone|drug
DDI-MedLine.d59.s1|86-90|(14)C|drug
DDI-MedLine.d59.s2|31-39|carbachol|drug
DDI-MedLine.d59.s2|83-96|dibutyryl cAMP|drug_n
DDI-MedLine.d59.s5|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s6|29-42|cytochalasin D|drug
