DDI-MedLine.d48.s0|79-107|Clostridium difficile toxin A|group
DDI-MedLine.d48.s8|84-90|toxin A|group
DDI-MedLine.d48.s11|22-28|toxin A|group
DDI-MedLine.d48.s11|150-156|toxin A|group
DDI-MedLine.d62.s1|117-131|methamphetamine|group
DDI-MedLine.d62.s4|46-60|methamphetamine|group
DDI-MedLine.d62.s4|290-298|clozapine|brand
DDI-MedLine.d106.s1|45-70|anticoagulant interference|group
DDI-MedLine.d106.s1|75-87|phenobarbital|drug
DDI-MedLine.d106.s1|90-101|secobarbital|drug
DDI-MedLine.d106.s1|104-115|glutethimide|drug
DDI-MedLine.d106.s1|118-132|chloral hydrate|drug
DDI-MedLine.d106.s1|138-149|methaqualone|drug
DDI-MedLine.d106.s1|209-221|anticoagulant|group
DDI-MedLine.d106.s2|25-32|warfarin|group
DDI-MedLine.d106.s4|67-79|phenobarbital|group
DDI-MedLine.d106.s4|82-93|secobarbital|group
DDI-MedLine.d106.s4|99-110|glutethimide|drug
DDI-MedLine.d106.s5|81-94|anticoagulants|group
DDI-MedLine.d106.s5|100-116|antifungal agents|group
DDI-MedLine.d106.s6|0-11|barbiturates|drug
DDI-MedLine.d106.s6|17-28|glutethimide|group
DDI-MedLine.d106.s7|22-35|anticoagulants|group
DDI-MedLine.d106.s7|41-57|antifungal agents|group
DDI-MedLine.d106.s8|20-31|methaqualone|group
DDI-MedLine.d106.s9|21-35|chloral hydrate|group
DDI-MedLine.d106.s9|41-52|methaqualone|group
DDI-MedLine.d59.s2|31-39|carbachol|group
DDI-MedLine.d59.s6|29-42|cytochalasin D|group
DDI-MedLine.d58.s1|39-50|ginsenosides|group
DDI-MedLine.d58.s4|22-33|ginsenosides|group
DDI-MedLine.d58.s7|24-35|ginsenosides|group
DDI-MedLine.d47.s0|12-21|buforin II|group
DDI-MedLine.d47.s0|53-64|azithromycin|drug
DDI-MedLine.d47.s0|70-80|minocycline|drug
DDI-MedLine.d47.s0|90-111|Cryptosporidium parvum|group
DDI-MedLine.d65.s0|0-17| drug interactions|drug
DDI-MedLine.d65.s1|21-27| agents|group
DDI-MedLine.d65.s5|10-18|knowledge|drug
DDI-MedLine.d65.s5|127-131|drugs|group
DDI-MedLine.d74.s2|275-286|theophylline|group
DDI-MedLine.d74.s8|12-19|arginine|group
DDI-MedLine.d74.s8|72-89|pancreatic insulin|group
DDI-MedLine.d74.s8|95-102|glucagon|group
DDI-MedLine.d74.s11|108-119|theophylline|group
DDI-MedLine.d44.s2|30-39|etofibrate|group
DDI-MedLine.d44.s2|401-410|etofibrate|group
DDI-MedLine.d44.s5|6-15|etofibrate|drug
DDI-MedLine.d44.s7|52-63|260% greater|group
DDI-MedLine.d44.s8|30-39|etofibrate|group
DDI-MedLine.d44.s8|126-135|etofibrate|group
DDI-MedLine.d125.s1|30-48|1,3-difluoroacetone|drug
DDI-MedLine.d125.s1|120-142|1,3-difluoro-2-propanol|group
DDI-MedLine.d125.s2|114-126|fluorocitrate|group
DDI-MedLine.d125.s6|24-39|4-methylpyrazole|group
DDI-MedLine.d125.s7|27-42|4-methylpyrazole|drug
DDI-MedLine.d125.s8|62-77|4-methylpyrazole|drug
DDI-MedLine.d86.s1|60-68|sirolimus|group
DDI-MedLine.d86.s1|73-99|macrolide immunosuppressant|group
DDI-MedLine.d86.s1|132-140|diltiazem|brand
DDI-MedLine.d86.s3|176-184|sirolimus|drug
DDI-MedLine.d86.s3|216-224|diltiazem|group
DDI-MedLine.d86.s5|6-14|sirolimus|group
DDI-MedLine.d86.s5|16-29|anticoagulants|group
DDI-MedLine.d86.s5|31-47|antifungal agents|group
DDI-MedLine.d86.s5|49-62|anticoagulants|group
DDI-MedLine.d86.s5|64-80|antifungal agents|group
DDI-MedLine.d86.s5|82-95|anticoagulants|group
DDI-MedLine.d86.s5|97-113|antifungal agents|group
DDI-MedLine.d86.s5|115-128|anticoagulants|group
DDI-MedLine.d86.s5|130-146|antifungal agents|group
DDI-MedLine.d86.s5|148-161|anticoagulants|group
DDI-MedLine.d86.s5|163-179|antifungal agents|group
DDI-MedLine.d86.s5|181-194|anticoagulants|group
DDI-MedLine.d86.s5|196-212|antifungal agents|group
DDI-MedLine.d86.s5|214-227|anticoagulants|group
DDI-MedLine.d86.s5|229-245|antifungal agents|group
DDI-MedLine.d86.s5|247-260|anticoagulants|group
DDI-MedLine.d86.s5|262-278|antifungal agents|group
DDI-MedLine.d86.s5|280-293|anticoagulants|group
DDI-MedLine.d86.s5|295-311|antifungal agents|group
DDI-MedLine.d86.s5|313-326|anticoagulants|group
DDI-MedLine.d86.s5|328-344|antifungal agents|group
DDI-MedLine.d86.s5|346-359|anticoagulants|group
DDI-MedLine.d86.s5|361-377|antifungal agents|group
DDI-MedLine.d86.s5|379-392|anticoagulants|group
DDI-MedLine.d86.s6|54-62|sirolimus|group
DDI-MedLine.d86.s6|111-119|sirolimus|group
DDI-MedLine.d86.s6|136-144|diltiazem|brand
DDI-MedLine.d86.s7|87-96| diltiazem|group
DDI-MedLine.d86.s7|99-117| desacetyldiltiazem|group
DDI-MedLine.d86.s7|124-142| desmethyldiltiazem|group
DDI-MedLine.d86.s7|234-243| diltiazem|brand
DDI-MedLine.d86.s9|72-85|anticoagulants|group
DDI-MedLine.d86.s9|87-103|antifungal agents|group
DDI-MedLine.d86.s9|130-143|anticoagulants|group
DDI-MedLine.d86.s9|145-161|antifungal agents|group
DDI-MedLine.d86.s9|254-260|aspirin|group
DDI-MedLine.d86.s9|266-270|xanax|group
DDI-MedLine.d1.s4|85-94|sildenafil|drug
DDI-MedLine.d1.s6|40-61|beta-receptor blockers|group
DDI-MedLine.d1.s6|64-82|calcium antagonists|group
DDI-MedLine.d1.s6|85-111|thiazide and loop diuretics|group
DDI-MedLine.d1.s6|117-130|ACE inhibitors|group
DDI-MedLine.d1.s7|21-33|anticoagulant|group
DDI-MedLine.d1.s7|38-53|antifungal agent|group
DDI-MedLine.d1.s8|0-19|secondary prevention|drug
DDI-MedLine.d132.s3|71-91|antiretroviral agents|group
DDI-MedLine.d132.s3|105-114|nevirapine|group
DDI-MedLine.d132.s3|119-129|delavirdine|group
DDI-MedLine.d132.s4|5-13|efavirenz|drug
DDI-MedLine.d132.s4|19-28|nevirapine|drug
DDI-MedLine.d132.s4|79-87|indinavir|drug
DDI-MedLine.d132.s4|166-175|nevirapine|drug
DDI-MedLine.d132.s4|216-224|efavirenz|drug
DDI-MedLine.d132.s6|72-92|antiretroviral agents|group
DDI-MedLine.d132.s6|102-111|nevirapine|drug
