DDI-MedLine.d48.s0|6-22|Clostridium toxin|drug_n
DDI-MedLine.d48.s1|9-37|Clostridium difficile toxin A|drug
DDI-MedLine.d48.s2|45-51|toxin A|drug_n
DDI-MedLine.d48.s3|127-147|Diethyl pyrocarbonate|drug
DDI-MedLine.d48.s5|0-20|diethyl pyrocarbonate|drug
DDI-MedLine.d48.s6|9-29|diethyl pyrocarbonate|drug
DDI-MedLine.d48.s6|33-45|hydroxylamine|drug
DDI-MedLine.d48.s8|0-6|toxin A|drug
DDI-MedLine.d48.s10|100-106|toxin A|drug_n
DDI-MedLine.d48.s11|0-3|zinc|drug
DDI-MedLine.d48.s11|5-11|toxin A|drug
DDI-MedLine.d48.s11|13-26|zinc-chelating|drug
DDI-MedLine.d48.s11|28-41|chromatography|drug
DDI-MedLine.d62.s0|84-98|methamphetamine|drug
DDI-MedLine.d62.s1|147-150|METH|drug
DDI-MedLine.d62.s4|6-9|METH|drug
DDI-MedLine.d62.s4|194-202|SCH-23390|brand
DDI-MedLine.d62.s4|239-247|clozapine|group
DDI-MedLine.d62.s5|9-12|METH|drug
DDI-MedLine.d62.s5|16-26|amphetamine|drug
DDI-MedLine.d62.s5|30-37|dopamine|drug
DDI-MedLine.d62.s5|41-48|receptor|drug
DDI-MedLine.d62.s5|52-55|mRNA|drug
DDI-MedLine.d62.s5|59-61|arc|drug
DDI-MedLine.d62.s6|189-203|methamphetamine|drug
DDI-MedLine.d62.s6|208-221|anticoagulants|group
DDI-MedLine.d62.s6|226-232|aspirin|brand
DDI-MedLine.d62.s6|237-253|clostridium toxin|drug_n
DDI-MedLine.d106.s1|6-19|anticoagulants|group
DDI-MedLine.d106.s1|21-33|phenobarbital|drug
DDI-MedLine.d106.s1|35-46|secobarbital|drug
DDI-MedLine.d106.s1|48-59|glutethimide|group
DDI-MedLine.d106.s1|61-74|anticoagulants|group
DDI-MedLine.d106.s1|76-92|antifungal agents|group
DDI-MedLine.d106.s1|94-107|anticoagulants|group
DDI-MedLine.d106.s1|109-122|anticoagulants|group
DDI-MedLine.d106.s1|124-137|anticoagulants|group
DDI-MedLine.d106.s1|139-152|anticoagulants|group
DDI-MedLine.d106.s1|154-167|anticoagulants|group
DDI-MedLine.d106.s1|169-182|anticoagulants|group
DDI-MedLine.d106.s1|184-197|anticoagulants|group
DDI-MedLine.d106.s1|199-212|anticoagulants|group
DDI-MedLine.d106.s1|214-227|anticoagulants|group
DDI-MedLine.d106.s1|229-242|anticoagulants|group
DDI-MedLine.d106.s1|244-257|anticoagulants|group
DDI-MedLine.d106.s1|259-272|anticoagulants|group
DDI-MedLine.d106.s1|274-287|anticoagulants|group
DDI-MedLine.d106.s1|289-302|anticoagulants|group
DDI-MedLine.d106.s1|304-317|anticoagulants|group
DDI-MedLine.d106.s1|319-332|anticoagulants|group
DDI-MedLine.d106.s1|334-347|anticoagulants|group
DDI-MedLine.d106.s2|6-13|warfarin|drug
DDI-MedLine.d106.s2|75-82|warfarin|drug
DDI-MedLine.d106.s4|6-19|anticoagulants|group
DDI-MedLine.d106.s4|21-33|phenobarbital|drug
DDI-MedLine.d106.s4|35-46|secobarbital|drug
DDI-MedLine.d106.s4|48-61|anticoagulants|group
DDI-MedLine.d106.s4|63-76|anticoagulants|group
DDI-MedLine.d106.s4|78-91|anticoagulants|group
DDI-MedLine.d106.s4|93-106|anticoagulants|group
DDI-MedLine.d106.s4|108-121|anticoagulants|group
DDI-MedLine.d106.s4|123-136|anticoagulants|group
DDI-MedLine.d106.s4|138-151|anticoagulants|group
DDI-MedLine.d106.s4|153-166|anticoagulants|group
DDI-MedLine.d106.s4|168-181|anticoagulants|group
DDI-MedLine.d106.s4|183-196|anticoagulants|group
DDI-MedLine.d106.s4|198-209|glutethimide|drug
DDI-MedLine.d106.s5|87-101|chloral hydrate|drug
DDI-MedLine.d106.s5|107-118|methaqualone|drug
DDI-MedLine.d106.s6|6-17|Barbiturates|group
DDI-MedLine.d106.s6|23-34|glutethimide|drug
DDI-MedLine.d106.s6|85-92|coumarin|group
DDI-MedLine.d106.s6|94-98|drugs|group
DDI-MedLine.d106.s7|9-22|anticoagulants|group
DDI-MedLine.d106.s7|26-42|antifungal agents|group
DDI-MedLine.d106.s8|10-24|chloral hydrate|drug
DDI-MedLine.d106.s8|36-47|methaqualone|drug
DDI-MedLine.d106.s8|93-112|anticoagulant agents|group
DDI-MedLine.d106.s9|6-19|anticoagulants|group
DDI-MedLine.d106.s9|21-24|oral|group
DDI-MedLine.d106.s9|26-32|aspirin|brand
DDI-MedLine.d106.s9|34-37|oral|group
DDI-MedLine.d106.s9|39-52|anticoagulants|group
DDI-MedLine.d106.s9|54-68|chloral hydrate|drug
DDI-MedLine.d106.s9|70-81|methaqualone|drug
DDI-MedLine.d59.s0|9-17|carbachol|drug
DDI-MedLine.d59.s1|0-10|aminopyrine|drug
DDI-MedLine.d59.s2|9-17|carbachol|drug
DDI-MedLine.d59.s2|21-34|dibutyryl cAMP|drug
DDI-MedLine.d59.s3|197-205|carbachol|drug
DDI-MedLine.d59.s4|9-22|Cytochalasin D|drug
DDI-MedLine.d59.s4|27-35|10 microM|drug
DDI-MedLine.d59.s4|84-92|carbachol|drug
DDI-MedLine.d59.s4|117-120|cAMP|drug
DDI-MedLine.d59.s4|151-159|histamine|drug
DDI-MedLine.d59.s4|165-168|cAMP|drug
DDI-MedLine.d59.s4|203-208|15 min|drug
DDI-MedLine.d59.s5|11-24|cytochalasin D|drug
DDI-MedLine.d59.s6|48-61|cytochalasin D|drug
DDI-MedLine.d58.s1|49-60|ginsenosides|drug
DDI-MedLine.d58.s2|11-22|Ginsenosides|drug
DDI-MedLine.d58.s2|28-50|Ca(2+) channel subtypes|group
DDI-MedLine.d58.s2|56-78|Ca(2+) channel subtypes|group
DDI-MedLine.d58.s2|84-106|Ca(2+) channel subtypes|group
DDI-MedLine.d58.s2|112-134|Ca(2+) channel subtypes|group
DDI-MedLine.d58.s3|21-30|nimodipine|drug
DDI-MedLine.d58.s3|36-47|ginsenosides|drug
DDI-MedLine.d58.s3|53-58|L-type|group
DDI-MedLine.d58.s3|64-69|N-type|group
DDI-MedLine.d58.s3|75-80|P-type|group
DDI-MedLine.d58.s5|9-10|IC|drug
DDI-MedLine.d58.s6|34-45|ginsenosides|group
DDI-MedLine.d58.s8|177-183|ginseng|group
DDI-MedLine.d47.s0|59-70|azithromycin|brand
DDI-MedLine.d47.s0|76-86|minocycline|brand
DDI-MedLine.d47.s1|53-62|buforin II|drug
DDI-MedLine.d47.s1|94-105|azithromycin|brand
DDI-MedLine.d47.s1|111-121|minocycline|brand
DDI-MedLine.d47.s2|9-18|Buforin II|drug
DDI-MedLine.d47.s3|75-86|azithromycin|brand
DDI-MedLine.d47.s3|91-101|minocycline|brand
DDI-MedLine.d47.s4|6-16|antibiotics|group
DDI-MedLine.d47.s4|46-60|Cryptosporidium|group
DDI-MedLine.d47.s4|62-67|parvum|group
DDI-MedLine.d47.s4|114-125|azithromycin|brand
DDI-MedLine.d47.s4|130-140|minocycline|brand
DDI-MedLine.d65.s0|0-16|Drug interactions|drug
DDI-MedLine.d65.s3|0-3|drug|drug
DDI-MedLine.d65.s4|168-174|patient|drug
DDI-MedLine.d65.s5|133-139| drugs |drug
DDI-MedLine.d74.s0|92-99|arginine|drug
DDI-MedLine.d74.s2|7-14|arginine|drug
DDI-MedLine.d74.s2|17-23|glucose|drug
DDI-MedLine.d74.s2|26-37|theophylline|drug
DDI-MedLine.d74.s3|9-20|Theophylline|drug
DDI-MedLine.d74.s3|45-51|insulin|drug
DDI-MedLine.d74.s3|57-64|glucagon|drug
DDI-MedLine.d74.s3|77-85|diabetics|drug
DDI-MedLine.d74.s3|91-97|normals|drug
DDI-MedLine.d74.s5|48-59|theophylline|drug
DDI-MedLine.d74.s6|182-189|arginine|drug
DDI-MedLine.d74.s6|191-202|theophylline|drug
DDI-MedLine.d74.s7|0-6|aspirin|drug
DDI-MedLine.d74.s8|18-25|arginine|drug
DDI-MedLine.d74.s8|89-95|insulin|drug
DDI-MedLine.d74.s8|101-108|glucagon|drug
DDI-MedLine.d74.s9|0-7|arginine|drug
DDI-MedLine.d74.s9|9-15|aspirin|drug
DDI-MedLine.d74.s11|0-11|theophylline|drug
DDI-MedLine.d44.s0|14-23|etofibrate|drug
DDI-MedLine.d44.s1|0-6|aspirin|drug
DDI-MedLine.d44.s4|6-11|lipids|group
DDI-MedLine.d44.s6|99-114|lipolytic agents|group
DDI-MedLine.d44.s7|0-9|etofibrate|drug
DDI-MedLine.d44.s8|9-18|etofibrate|drug
DDI-MedLine.d125.s0|10-59|The mode of toxic action of the pesticide gliftor:|drug
DDI-MedLine.d125.s0|64-130|The metabolism of 1,3-difluoroacetone to (-)-erythro-fluorocitrate.|drug
DDI-MedLine.d125.s1|9-15|Gliftor|drug
DDI-MedLine.d125.s1|19-41|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s1|45-63|1,3-difluoroacetone|drug
DDI-MedLine.d125.s4|6-19|anticoagulants|group
DDI-MedLine.d125.s4|21-37|antifungal agents|group
DDI-MedLine.d125.s4|39-49|anesthetics|group
DDI-MedLine.d125.s4|51-57|aspirin|brand
DDI-MedLine.d125.s5|212-234|1,3-difluoro-2-propanol|drug_n
DDI-MedLine.d125.s5|240-258|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s5|278-300|1,3-difluoro-2-propanol|drug_n
DDI-MedLine.d125.s5|315-318|NAD+|drug_n
DDI-MedLine.d125.s6|9-24|4-methylpyrazole|drug
DDI-MedLine.d125.s6|28-50|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s6|54-78|(-)-erythro-fluorocitrate|drug
DDI-MedLine.d125.s7|6-21|4-methylpyrazole|drug
DDI-MedLine.d125.s7|24-37|anticoagulants|group
DDI-MedLine.d125.s7|41-57|antifungal agents|group
DDI-MedLine.d125.s7|61-74|anticoagulants|group
DDI-MedLine.d125.s7|78-94|antifungal agents|group
DDI-MedLine.d125.s7|98-111|anticoagulants|group
DDI-MedLine.d125.s7|115-131|antifungal agents|group
DDI-MedLine.d125.s7|135-148|anticoagulants|group
DDI-MedLine.d125.s7|152-168|antifungal agents|group
DDI-MedLine.d125.s7|172-190|1,3-difluoroacetone|brand
DDI-MedLine.d125.s7|194-207|anticoagulants|group
DDI-MedLine.d125.s7|211-227|antifungal agents|group
DDI-MedLine.d125.s7|231-244|anticoagulants|group
DDI-MedLine.d125.s7|248-264|antifungal agents|group
DDI-MedLine.d125.s7|268-281|anticoagulants|group
DDI-MedLine.d125.s7|285-301|antifungal agents|group
DDI-MedLine.d125.s7|305-318|anticoagulants|group
DDI-MedLine.d125.s7|322-338|antifungal agents|group
DDI-MedLine.d125.s7|342-355|anticoagulants|group
DDI-MedLine.d125.s7|359-375|antifungal agents|group
DDI-MedLine.d125.s7|379-397|1,3-difluoroacetone|brand
DDI-MedLine.d125.s7|401-414|anticoagulants|group
DDI-MedLine.d125.s7|418-434|antifungal agents|group
DDI-MedLine.d125.s8|62-77|4-methylpyrazole|drug
DDI-MedLine.d125.s8|108-130|1,3-difluoro-2-propanol|brand
DDI-MedLine.d125.s8|224-246|1,3-difluoro-2-propanol|brand
DDI-MedLine.d125.s8|251-269|1,3-difluoroacetone|drug_n
DDI-MedLine.d86.s0|0-8|diltiazem|drug
DDI-MedLine.d86.s0|10-18|sirolimus|drug
DDI-MedLine.d86.s1|60-68|sirolimus|drug
DDI-MedLine.d86.s1|132-140|diltiazem|brand
DDI-MedLine.d86.s2|6-28|immunosuppressive drugs|group
DDI-MedLine.d86.s2|30-48|calcium antagonists|group
DDI-MedLine.d86.s3|6-19|anticoagulants|group
DDI-MedLine.d86.s3|21-37|antifungal agents|group
DDI-MedLine.d86.s3|39-47|diltiazem|brand
DDI-MedLine.d86.s3|49-72|calcium channel blockers|group
DDI-MedLine.d86.s3|74-91|immunosuppressants|group
DDI-MedLine.d86.s3|93-101|sirolimus|brand
DDI-MedLine.d86.s5|0-8|sirolimus|drug
DDI-MedLine.d86.s5|10-23|anticoagulants|group
DDI-MedLine.d86.s5|25-33|diltiazem|drug
DDI-MedLine.d86.s6|54-62|sirolimus|drug
DDI-MedLine.d86.s6|111-119|sirolimus|drug
DDI-MedLine.d86.s6|136-144|diltiazem|brand
DDI-MedLine.d86.s7|6-19|anticoagulants|group
DDI-MedLine.d86.s7|49-65|antifungal agents|group
DDI-MedLine.d86.s7|220-228|diltiazem|drug
DDI-MedLine.d86.s7|231-248|desacetyldiltiazem|drug
DDI-MedLine.d86.s7|255-272|desmethyldiltiazem|drug
DDI-MedLine.d86.s7|315-323|sirolimus|brand
DDI-MedLine.d86.s7|364-372|diltiazem|drug
DDI-MedLine.d86.s8|29-37|sirolimus|drug
DDI-MedLine.d86.s8|44-52|diltiazem|drug
DDI-MedLine.d86.s9|6-14|sirolimus|drug
DDI-MedLine.d86.s9|20-28|diltiazem|drug
DDI-MedLine.d1.s0|11-30|Erectile dysfunction|drug
DDI-MedLine.d1.s0|36-49|cardiovascular|group
DDI-MedLine.d1.s0|55-74|Erectile dysfunction|drug
DDI-MedLine.d1.s0|80-93|cardiovascular|group
DDI-MedLine.d1.s4|114-123|sildenafil|drug
DDI-MedLine.d1.s5|6-19|anticoagulants|group
DDI-MedLine.d1.s5|21-37|antifungal agents|group
DDI-MedLine.d1.s5|39-46|nitrates|group
DDI-MedLine.d1.s5|48-57|Sildenafil|brand
DDI-MedLine.d1.s6|46-67|beta-receptor blockers|drug
DDI-MedLine.d1.s6|70-88|calcium antagonists|group
DDI-MedLine.d1.s6|91-117|thiazide and loop diuretics|group
